Station Name,Address,City,Postal Code,Region,Country,Latitude,Longitude,Location Details,Category
"MOBIL RUTHERGLEN","17 FORTUNE STREET","RUTHERGLEN","3685","VIC","AUSTRALIA",-36.0575,146.4642,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"MOBIL SHEPPARTON","103-107 ARCHER STREET","SHEPPARTON","3630","VIC","AUSTRALIA",-36.3859,145.4126,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"SOUTH MORANG","840 PLENTY ROAD","SOUTH MORANG","3752","VIC","AUSTRALIA",-37.6493,145.0908,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"MOBIL HEYFIELD","3 TYSON ROAD","HEYFIELD","3858","VIC","AUSTRALIA",-37.9778,146.7844,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"SAFEWAY CALTEX BANNOCKBURN","1 HIGH STREET","BANNOCKBURN","3331","VIC","AUSTRALIA",-38.0455,144.1727,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"PYRENEES BP","39 HIGH STREET","NAVARRE","3384","VIC","AUSTRALIA",-36.8997,143.1132,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS KNOXFIELD","1370 FERNTREE GULLY ROAD","KNOXFIELD","3180","VIC","AUSTRALIA",-37.8996,145.2339,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX SAFEWAY WERRIBEE","45-47 CHERRY STREET","WERRIBEE","3030","VIC","AUSTRALIA",-37.8997,144.6649,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"SAFEWAY CALTEX ELTHAM","527 MAIN ROAD","ELTHAM","3095","VIC","AUSTRALIA",-37.7327,145.138,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX COWES","140 THOMPSON AVENUE","COWES","3922","VIC","AUSTRALIA",-38.4545,145.2383,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP EAST BALLAN TRAVELSTOP","6511 WESTERN FREEWAY","BALLAN","3342","VIC","AUSTRALIA",-37.5916,144.242,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS MERNDA","1444 PLENTY ROAD","MERNDA","3754","VIC","AUSTRALIA",-37.6001,145.0966,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS JACANA","945-957 PASCOE VALE ROAD","BROADMEADOWS","3047","VIC","AUSTRALIA",-37.6928,144.915,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP ONE STOP - WARRNAMBOOL","98 MORTLAKE ROAD","WARRNAMBOOL","3280","VIC","AUSTRALIA",-38.3671,142.4942,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"THE TOTAL SHOP","12 DELANY AVENUE","BRIGHT","3741","VIC","AUSTRALIA",-36.7275,146.9655,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP HIGHBLUFF","359 BLUFF ROAD","HAMPTON","3188","VIC","AUSTRALIA",-37.9457,145.022,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX BROADMEADOWS","184 WIDFORD STREET","BROADMEADOWS","3047","VIC","AUSTRALIA",-37.6902,144.9264,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"TYABB","1491 FRANKSTON-FLINDERS ROAD","TYABB","3913","VIC","AUSTRALIA",-38.2582,145.1901,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"ROWVILLE","1215 STUD ROAD","ROWVILLE","3178","VIC","AUSTRALIA",-37.9293,145.2332,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"SAFEWAY CALTEX HOPPERS CROSSING","50 OLD GEELONG ROAD","HOPPERS CROSSING","3029","VIC","AUSTRALIA",-37.8807,144.7043,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"UNITED WARRAGUL","143 QUEEN STREET","WARRAGUL","3820","VIC","AUSTRALIA",-38.1648,145.9363,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"SAFEWAY CALTEX ST KILDA","97 CHAPEL STREET","ST KILDA","3182","VIC","AUSTRALIA",-37.8656,144.9905,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"SCOTTS BALLARAT","129 MAIN ROAD","BALLARAT","3350","VIC","AUSTRALIA",-37.5667,143.8687,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"RED CLIFFS AUTO & MARINE","2-4 ILEX STREET","RED CLIFFS","3496","VIC","AUSTRALIA",-34.3052,142.1875,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX BLAIRGOWRIE","2867 POINT NEPEAN ROAD","BLAIRGOWRIE","3942","VIC","AUSTRALIA",-38.3606,144.7763,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX PRESTON","71-73 MURRAY ROAD","PRESTON","3072","VIC","AUSTRALIA",-37.7404,145.0237,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"INDEPENDENT MURRAYVILLE","11-13 MCKENZIE STREET","MURRAYVILLE","3512","VIC","AUSTRALIA",-35.2635,141.1851,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS FAIRFIELD","377 HEIDELBERG ROAD","FAIRFIELD","3078","VIC","AUSTRALIA",-37.7834,145.0157,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX BENDIGO","224-226 MCCRAE STREET","BENDIGO","3550","VIC","AUSTRALIA",-36.7528,144.2884,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX CANN RIVER","15 PRINCES HIGHWAY","CANN RIVER","3890","VIC","AUSTRALIA",-37.5648,149.1536,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"MOBIL WODONGA","178 MELBOURNE ROAD","WODONGA","3690","VIC","AUSTRALIA",-36.1155,146.8707,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX KOO WEE RUP","17 STATION STREET","KOO WEE RUP","3981","VIC","AUSTRALIA",-38.199,145.4888,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"SANDRINGHAM","108 HIGHETT ROAD","HIGHETT","3190","VIC","AUSTRALIA",-37.9467,145.0224,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"INDEPENDENT ROMSEY","86 MAIN STREET","ROMSEY","3434","VIC","AUSTRALIA",-37.3509,144.7436,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS DANDENONG NORTH","166 STUD ROAD","DANDENONG NORTH","3175","VIC","AUSTRALIA",-37.9705,145.224,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS ASHBURTON","191 HIGH STREET","ASHBURTON","3147","VIC","AUSTRALIA",-37.8628,145.0762,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX NEWPORT","455 MELBOURNE ROAD","NEWPORT","3015","VIC","AUSTRALIA",-37.8407,144.8826,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP STAWELL","55-57 LONGFIELD STREET","STAWELL","3380","VIC","AUSTRALIA",-37.0637,142.7648,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"TIMBOON FUELS","109 BAILEY STREET","TIMBOON","3268","VIC","AUSTRALIA",-38.4829,142.9666,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BROADMEADOWS","80 CAMP ROAD","BROADMEADOWS","3047","VIC","AUSTRALIA",-37.6889,144.9541,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS EAST PRESTON","1-5 MURRAY ROAD","PRESTON","3072","VIC","AUSTRALIA",-37.7413,145.0304,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX SAFEWAY FOREST HILL","484 CANTERBURY ROAD","FOREST HILL","3131","VIC","AUSTRALIA",-37.8363,145.1837,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"MOBIL WARRAGUL","80 ALFRED STREET","WARRAGUL","3820","VIC","AUSTRALIA",-38.1687,145.9398,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX MORNINGTON","854 MOOROODUC HIGHWAY","MORNINGTON","3931","VIC","AUSTRALIA",-38.2411,145.0844,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP WEST BALLARAT","1601 STURT STREET","BALLARAT","3350","VIC","AUSTRALIA",-37.556,143.8181,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP  BRAYBROOK","277-281 BALLARAT ROAD","BRAYBROOK","3019","VIC","AUSTRALIA",-37.7804,144.8562,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"INDEPENDENT MURCHISON","27 STEVENSON STREET","MURCHISON","3610","VIC","AUSTRALIA",-36.617,145.2177,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS MALVERN","763-779 DANDENONG ROAD","MALVERN EAST","3145","VIC","AUSTRALIA",-37.8731,145.038,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP MIDVALLEY","52 VESTAN DRIVE","MORWELL","3840","VIC","AUSTRALIA",-38.2345,146.4363,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX COBRAM","88 STATION STREET","COBRAM","3644","VIC","AUSTRALIA",-35.9236,145.6462,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP FOSTER","94 MAIN STREET","FOSTER","3960","VIC","AUSTRALIA",-38.6523,146.2035,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS WERRIBEE PARK","137-139 PRINCES HIGHWAY","WERRIBEE","3030","VIC","AUSTRALIA",-37.8931,144.6809,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS NARRE WARREN NORTH","155-171 NARRE WARREN NORTH ROAD","NARRE WARREN","3805","VIC","AUSTRALIA",-38.0102,145.3094,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"SAFEWAY CALTEX LOWER TEMPLESTOWE","323 MANNINGHAM ROAD","TEMPLESTOWE LOWER","3107","VIC","AUSTRALIA",-37.7732,145.1125,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP LONG GULLY","187 EAGLEHAWK ROAD","LONG GULLY","3550","VIC","AUSTRALIA",-36.7443,144.2579,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"MOBIL CHURCHILL","6 GEORGINA PLACE","CHURCHILL","3842","VIC","AUSTRALIA",-38.3131,146.4201,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS FAWKNER","1182 SYDNEY ROAD","FAWKNER","3060","VIC","AUSTRALIA",-37.7088,144.9616,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP TALLANGATTA","13 TOWONG STREET","TALLANGATTA","3700","VIC","AUSTRALIA",-36.216,147.1805,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"THE WARRNAMBOOL CHEESE & BUTTER STORE","5334 GREAT OCEAN ROAD","ALLANSFORD","3277","VIC","AUSTRALIA",-38.3951,142.6284,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"MOBIL FOSTER","78 MAIN STREET","FOSTER","3960","VIC","AUSTRALIA",-38.6525,146.2026,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS TRARALGON","115 PRINCES STREET","TRARALGON","3844","VIC","AUSTRALIA",-38.1994,146.5344,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"INDEPENDENT MAFFRA","131 JOHNSON STREET","MAFFRA","3860","VIC","AUSTRALIA",-37.968,146.977,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"SHELL GLADSTONE PARK","210-212 MICKLEHAM ROAD","GLADSTONE PARK","3043","VIC","AUSTRALIA",-37.6868,144.8832,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP KILMORE","102 SYDNEY STREET","KILMORE","3764","VIC","AUSTRALIA",-37.2873,144.9494,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"INDEPENDENT SEYMOUR","44 EMILY STREET","SEYMOUR","3660","VIC","AUSTRALIA",-37.0191,145.1284,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"PHILLIP ISLAND MOTORS","157 THOMPSON AVENUE","COWES","3922","VIC","AUSTRALIA",-38.4559,145.2393,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"MOBIL HAMILTON","122 FRENCH STREET","HAMILTON","3300","VIC","AUSTRALIA",-37.7437,142.0287,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP 2GO BRIGHTON","601 HAMPTON STREET","BRIGHTON","3186","VIC","AUSTRALIA",-37.9289,145.0037,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"INDEPENDENT HORSHAM","93 WILSON STREET","HORSHAM","3400","VIC","AUSTRALIA",-36.7169,142.1967,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"SAFEWAY CALTEX KYABRAM","70 UNION STREET","KYABRAM","3620","VIC","AUSTRALIA",-36.3123,145.0471,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"SAFEWAY CALTEX WANTIRNA","699 BORONIA ROAD","WANTIRNA","3152","VIC","AUSTRALIA",-37.8471,145.2266,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP OAKLEIGH","1523 DANDENONG ROAD","OAKLEIGH","3166","VIC","AUSTRALIA",-37.8927,145.0902,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"FERNTREE GULLY","510 NAPOLEON ROAD","FERNTREE GULLY","3156","VIC","AUSTRALIA",-37.9107,145.2756,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"ELTHAM","1050 MAIN ROAD","ELTHAM","3095","VIC","AUSTRALIA",-37.7121,145.1493,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP  THOMASTOWN - KEON PARADE","72 KEON PARADE","THOMASTOWN","3074","VIC","AUSTRALIA",-37.6955,145.0223,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX WANTIRNA SOUTH","1321 HIGH STREET ROAD","WANTIRNA SOUTH","3152","VIC","AUSTRALIA",-37.8764,145.2222,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"SAFEWAY CALTEX WHEELERS HILL","212-216 JELLS ROAD","WHEELERS HILL","3150","VIC","AUSTRALIA",-37.9112,145.1887,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"MJ'S ROADHOUSE","40 MEMORIAL ROAD","GLENTHOMPSON","3293","VIC","AUSTRALIA",-37.6364,142.5467,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"INDEPENDENT ST ARNAUD","56-58 MCMAHON STREET","ST ARNAUD","3478","VIC","AUSTRALIA",-36.6146,143.2553,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"7 ELEVEN KINGS PARK","1 KINGS ROAD","KINGS PARK","3021","VIC","AUSTRALIA",-37.7416,144.779,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS WESTGATE SOUTH","2 WEST GATE FREEWAY","PORT MELBOURNE","3207","VIC","AUSTRALIA",-37.8311,144.9186,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"SHEPPARTON","7647 GOULBURN VALLEY HIGHWAY","SHEPPARTON","3631","VIC","AUSTRALIA",-36.4413,145.3882,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"SAFEWAY CALTEX BLACKBURN NORTH","5-15 BLACKBURN ROAD","BLACKBURN NORTH","3109","VIC","AUSTRALIA",-37.7997,145.1595,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP CONNECT CORFORD","402-412 MELBOURNE ROAD","NORLANE","3214","VIC","AUSTRALIA",-38.1019,144.3541,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"UNKNOWN","158-164 STUD ROAD","DANDENONG","3175","VIC","AUSTRALIA",-37.9716,145.2237,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"MARIBYRNONG","33 RALEIGH ROAD","MARIBYRNONG","3032","VIC","AUSTRALIA",-37.7697,144.8971,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"SHELL WARBURTON","3458 WARBURTON HIGHWAY","WARBURTON","3799","VIC","AUSTRALIA",-37.7535,145.6961,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP EXPRESS FRANKSTON","296-298 FRANKSTON-DANDENONG ROAD","SEAFORD","3198","VIC","AUSTRALIA",-38.1192,145.1471,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"PACE MOTORS SEVILLE","567 WARBURTON HIGHWAY","SEVILLE","3139","VIC","AUSTRALIA",-37.7775,145.459,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX BULLEEN","39 BRIDGE STREET","BULLEEN","3105","VIC","AUSTRALIA",-37.7605,145.0819,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BOX HILL","786 WHITEHORSE ROAD","BOX HILL","3127","VIC","AUSTRALIA",-37.8171,145.1143,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX MARYSVILLE","10 MURCHISON STREET","MARYSVILLE","3779","VIC","AUSTRALIA",-37.5097,145.7479,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP  FITZROY","143-153 JOHNSTON STREET","FITZROY NORTH","3065","VIC","AUSTRALIA",-37.7983,144.9798,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"HODGETT'S BROTHERS","64 BURKE STREET","LANDSBOROUGH","3384","VIC","AUSTRALIA",-37.0065,143.1315,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"RAYMONDS","36 FAWKNER STREET","WESTMEADOWS","3049","VIC","AUSTRALIA",-37.677,144.8873,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"FERNTREE GULLY","1025-1027 BURWOOD HIGHWAY","FERNTREE GULLY","3156","VIC","AUSTRALIA",-37.8885,145.2918,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"MOBIL MILDURA","90 SEVENTH STREET","MILDURA","3500","VIC","AUSTRALIA",-34.1866,142.1686,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS MOUNT WAVERLEY","258-260 STEPHENSONS ROAD","MOUNT WAVERLEY","3149","VIC","AUSTRALIA",-37.8766,145.1293,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"INDEPENDENT EBDEN","82 BONEGILLA ROAD","BONEGILLA","3691","VIC","AUSTRALIA",-36.135,147.0088,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"AMPOL BEECHWORTH","2 HIGH STREET","BEECHWORTH","3747","VIC","AUSTRALIA",-36.3651,146.6828,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP HOPETOUN","95 LASCELLES STREET","HOPETOUN","3396","VIC","AUSTRALIA",-35.729,142.3656,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"KEW","103-105 EARL STREET","KEW","3101","VIC","AUSTRALIA",-37.7932,145.0317,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"NEWPORT","438 MELBOURNE ROAD","NEWPORT","3015","VIC","AUSTRALIA",-37.8409,144.8832,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS COTHAM ROAD","245 COTHAM ROAD","KEW","3101","VIC","AUSTRALIA",-37.8089,145.0514,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP HEATHERHILL","974 HEATHERTON ROAD","SPRINGVALE SOUTH","3172","VIC","AUSTRALIA",-37.9637,145.1606,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP WALPEUP GARAGE","11 CREGAN STREET","WALPEUP","3507","VIC","AUSTRALIA",-35.1366,142.024,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS RICHMOND","399-411 PUNT ROAD","CREMORNE","3121","VIC","AUSTRALIA",-37.8265,144.9888,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"MOBIL HORSHAM","129-137 BAILLIE STREET","HORSHAM","3400","VIC","AUSTRALIA",-36.7121,142.2018,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS FRANKSTON","413 NEPEAN HIGHWAY","FRANKSTON","3199","VIC","AUSTRALIA",-38.1407,145.1225,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP FERNHILL","555-559 STEPHENSONS ROAD","MOUNT WAVERLEY","3149","VIC","AUSTRALIA",-37.8987,145.1239,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS LYNDHURST","210 DANDENONG-HASTINGS ROAD","LYNDHURST","3975","VIC","AUSTRALIA",-38.0551,145.2446,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS EUROA","167 TARCOMBE STREET","EUROA","3666","VIC","AUSTRALIA",-36.7429,145.5915,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
